,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95
Mar-20,0.930447903,0.772173575,1.088722231,0.688388207,1.172507599
Apr-20,0.907576349,0.738502113,1.076650585,0.648999619,1.16615308
May-20,0.862691784,0.68345991,1.041923658,0.588580287,1.136803281
Jun-20,0.885575959,0.69672505,1.074426867,0.596753418,1.1743985
Jul-20,0.891061169,0.693051317,1.089071022,0.588231232,1.193891106
Aug-20,0.912102848,0.705332992,1.118872704,0.595875642,1.228330054
Sep-20,0.894976229,0.679796578,1.110155879,0.565887352,1.224065105
Oct-20,0.912403005,0.689124193,1.135681818,0.570927529,1.253878482
Nov-20,0.896495586,0.665395579,1.127595593,0.543058625,1.249932547
Dec-20,0.896971306,0.658300742,1.135641869,0.531956178,1.261986434
Jan-21,0.936628488,0.690614864,1.182642112,0.560383118,1.312873858
Feb-21,0.940939317,0.687790329,1.194088305,0.553781349,1.328097285
Mar-21,0.942035511,0.680568077,1.203502945,0.542155579,1.341915443
Apr-21,0.919163957,0.650962145,1.18736577,0.508984682,1.329343233
May-21,0.874279392,0.599503392,1.149055392,0.454045764,1.29451302
Jun-21,0.897163567,0.615962333,1.1783648,0.467103392,1.327223742
Jul-21,0.902648777,0.615161275,1.190136279,0.462974584,1.34232297
Aug-21,0.923690456,0.630046724,1.217334188,0.474601121,1.372779791
Sep-21,0.906563837,0.606885897,1.206241777,0.448245978,1.364881696
Oct-21,0.923990614,0.618393258,1.229587969,0.45661979,1.391361437
Nov-21,0.908083194,0.596674668,1.21949172,0.431824953,1.384341435
Dec-21,0.908558914,0.591441511,1.225676317,0.423569698,1.39354813
Jan-22,0.948216096,0.625486677,1.270945514,0.454644043,1.441788149
Feb-22,0.952526925,0.624277384,1.280776466,0.450512573,1.454541277
Mar-22,0.953623119,0.6188644,1.288381838,0.441653839,1.465592399
Apr-22,0.930751566,0.590660117,1.270843014,0.410626579,1.450876552
May-22,0.885867,0.540521314,1.231212686,0.357706351,1.41402765
Jun-22,0.908751175,0.558226211,1.259276138,0.372669504,1.444832846
Jul-22,0.914236385,0.558603828,1.269868942,0.370343325,1.458129446
Aug-22,0.935278064,0.574606551,1.295949577,0.383678585,1.486877543
Sep-22,0.918151445,0.552506774,1.283796116,0.358946178,1.477356712
Oct-22,0.935578222,0.565023541,1.306132903,0.368863742,1.502292702
Nov-22,0.919670802,0.544266779,1.295074825,0.345539894,1.49380171
Dec-22,0.920146522,0.539951504,1.30034154,0.338688418,1.501604626
Jan-23,0.959803704,0.574873856,1.344733552,0.371104303,1.548503105
Feb-23,0.964114533,0.574503972,1.353725094,0.3682566,1.559972467
Mar-23,0.965210727,0.570056328,1.360365126,0.360874225,1.569547229
Apr-23,0.942339174,0.542617103,1.342061244,0.331017021,1.553661326
May-23,0.897454608,0.493213175,1.301696041,0.279220687,1.51568853
Jun-23,0.920338783,0.511624692,1.329052874,0.295264522,1.545413044
Jul-23,0.925823993,0.512682432,1.338965555,0.2939785,1.557669487
Aug-23,0.946865672,0.529340388,1.364390956,0.308315854,1.585415491
Sep-23,0.929739053,0.50787243,1.351605676,0.284549729,1.574928377
Oct-23,0.94716583,0.520998954,1.373332705,0.295399838,1.598931822
Nov-23,0.93125841,0.500831137,1.361685684,0.272976701,1.589540119
Dec-23,0.93173413,0.49708514,1.366383121,0.266995863,1.596472397
Jan-24,0.971391312,0.532558168,1.410224456,0.300253935,1.642528689
Feb-24,0.975702141,0.532721343,1.41868294,0.298221473,1.653182809
Mar-24,0.976798335,0.528894651,1.424702019,0.291788763,1.661807907
Apr-24,0.953926782,0.501952748,1.405900815,0.262692147,1.645161416
May-24,0.909042216,0.453031226,1.365053207,0.211633589,1.606450844
Jun-24,0.931926391,0.471910955,1.391941827,0.228393493,1.635459289
Jul-24,0.937411601,0.47342339,1.401399813,0.227802867,1.647020335
Aug-24,0.95845328,0.490523154,1.426383406,0.242815908,1.674090652
Sep-24,0.941326661,0.469484708,1.413168614,0.219706666,1.662946657
Oct-24,0.958753438,0.483029001,1.434477874,0.231195696,1.686311179
Nov-24,0.942846018,0.463267728,1.422424308,0.209394317,1.67629772
Dec-24,0.943321738,0.459917539,1.426725937,0.204018814,1.682624663
Jan-25,0.98297892,0.495776097,1.470181743,0.237866502,1.728091339
Feb-25,0.987289749,0.496314953,1.478264546,0.236408596,1.738170903
Mar-25,0.988385943,0.492929359,1.483842527,0.230650487,1.746121399
Apr-25,0.96551439,0.466342809,1.46468597,0.202097337,1.728931443
May-25,0.920629824,0.417768016,1.423491633,0.151569054,1.689690594
Jun-25,0.943513999,0.436986188,1.45004181,0.168846563,1.718181435
Jul-25,0.948999209,0.4388291,1.459169319,0.168761357,1.729237062
Aug-25,0.970040888,0.456251677,1.4838301,0.184268098,1.755813679
Sep-25,0.952914269,0.435528667,1.470299872,0.161641273,1.744187266
Oct-25,0.970341046,0.449381291,1.491300801,0.173601855,1.767080237
Nov-25,0.954433626,0.429921502,1.478945751,0.152261555,1.756605698
Dec-25,0.954909346,0.426866195,1.482952498,0.147337035,1.762481657
Jan-26,0.994566528,0.463013266,1.52611979,0.181625967,1.807507089
Feb-26,0.998877357,0.463834489,1.533920226,0.180599903,1.817154811
Mar-26,0.999973551,0.460782267,1.539164836,0.175351642,1.82459546
Apr-26,0.977101998,0.434465244,1.519738751,0.147210699,1.806993297
May-26,0.932217432,0.386154474,1.478280391,0.097086206,1.767348659
Jun-26,0.955101607,0.405631347,1.504571867,0.114759362,1.795443853
Jul-26,0.960586817,0.407727808,1.513445827,0.115061927,1.806111708
Aug-26,0.981628496,0.42539895,1.537858043,0.130948814,1.832308179
Sep-26,0.964501877,0.404919676,1.524084079,0.108694752,1.820309003
Oct-26,0.981928654,0.41901136,1.544845948,0.121020944,1.842836363
Nov-26,0.966021234,0.399786098,1.53225637,0.100039324,1.832003145
Dec-26,0.966496954,0.396960925,1.536032984,0.095466763,1.837527146
Jan-27,1.006154136,0.433333868,1.578974404,0.130101135,1.882207137
Feb-27,1.010464965,0.434376828,1.586553103,0.129414189,1.891515742
Mar-27,1.011561159,0.431587497,1.591534821,0.124567987,1.898554332
Apr-27,0.988689606,0.405483503,1.571895709,0.096752841,1.880626371
May-27,0.943805041,0.357381998,1.530228083,0.046948392,1.840661689
Jun-27,0.966689215,0.377064482,1.556313948,0.064936003,1.868442428
Jul-27,0.972174426,0.379363001,1.56498585,0.065547589,1.878801262
Aug-27,0.993216104,0.397232748,1.589199461,0.081738216,1.904693993
Sep-27,0.976089485,0.376948719,1.575230251,0.059782756,1.892396214
Oct-27,0.993516262,0.391232381,1.595800143,0.072402553,1.914629971
Nov-27,0.977608842,0.372195917,1.583021768,0.051709673,1.903508012
Dec-27,0.978084562,0.369556445,1.58661268,0.047421118,1.908748007
Jan-28,1.017741744,0.406112075,1.629371413,0.082334886,1.953148602
Feb-28,1.022052573,0.407334786,1.636770361,0.081922846,1.962182301
Mar-28,1.023148767,0.404759294,1.641538241,0.07740368,1.968893854
Apr-28,1.000277214,0.378828826,1.621725601,0.049853922,1.950700506
May-28,0.955392649,0.330898147,1.57988715,0.000310727,1.91047457
Jun-28,0.978276823,0.350748821,1.605804826,0.018555562,1.937998084
Jul-28,0.983762034,0.353212959,1.614311108,0.019420442,1.948103625
Aug-28,1.004803712,0.371245818,1.638361607,0.035860528,1.973746897
Sep-28,0.987677093,0.351122455,1.624231731,0.014150785,1.961203402
Oct-28,1.00510387,0.365564395,1.644643345,0.027012647,1.983195093
Nov-28,0.98919645,0.346683877,1.631709024,0.006558266,1.971834634
Dec-28,0.98967217,0.344198076,1.635146265,0.00250473,1.97683961
Jan-29,1.029329352,0.380905154,1.677753551,0.037650117,2.021008587
Feb-29,1.033640182,0.38227714,1.685003223,0.037466374,2.029813989
Mar-29,1.034736375,0.37987974,1.689593011,0.033219577,2.036253174
Apr-29,1.011864822,0.354093921,1.669635723,0.00589104,2.017838604
May-29,0.966980257,0.306305873,1.627654641,-0.04343402,1.977394533
Jun-29,0.989864431,0.326297204,1.653431658,-0.024974067,2.00470293
Jul-29,0.995349642,0.328900072,1.661799211,-0.023897019,2.014596303
Aug-29,1.016391321,0.347069773,1.685712868,-0.007247652,2.040030293
Sep-29,0.999264701,0.327081406,1.671447997,-0.028750936,2.027280339
Oct-29,1.016691478,0.341656535,1.691726421,-0.015685378,2.049068335
Nov-29,1.000784059,0.322907439,1.678660678,-0.035938766,2.037506884
Dec-29,1.001259778,0.320551329,1.681968228,-0.039793957,2.042313514
Jan-30,1.04091696,0.357386404,1.724447517,-0.004452815,2.086286736
Feb-30,1.04522779,0.358884729,1.73157085,-0.004443341,2.09489892
Mar-30,1.046323984,0.356638434,1.736009533,-0.008459042,2.101107009
Apr-30,1.02345243,0.330975404,1.715929456,-0.03559979,2.08250465
May-30,0.978567865,0.283308593,1.673827137,-0.084739434,2.041875164
Jun-30,1.001452039,0.303419639,1.699484439,-0.066096392,2.069000471
Jul-30,1.00693725,0.306140732,1.707733768,-0.064838536,2.078713035
Aug-30,1.027978929,0.324427195,1.731530662,-0.048010595,2.103968452
Sep-30,1.01085231,0.304554159,1.71715046,-0.069337497,2.091042116
Oct-30,1.028279086,0.319243214,1.737314959,-0.056097705,2.112655877
Nov-30,1.012371667,0.300606666,1.724136667,-0.076178966,2.100922299
Dec-30,1.012847387,0.298361752,1.727333021,-0.079864095,2.105558868
Jan-31,1.052504569,0.335306699,1.769702438,-0.04435492,2.149364057
Feb-31,1.056815398,0.336913594,1.776717201,-0.044179401,2.157810196
Mar-31,1.057911592,0.334797446,1.781025737,-0.04799606,2.163819243
Apr-31,1.035040038,0.309240196,1.760839881,-0.074975032,2.145055109
May-31,0.990155473,0.261677939,1.718633007,-0.123954774,2.104265719
Jun-31,1.013039647,0.281892339,1.744186956,-0.105153667,2.131232962
Jul-31,1.018524858,0.284715604,1.752334112,-0.10373955,2.140789266
Aug-31,1.039566537,0.303103082,1.776029991,-0.086757121,2.165890194
Sep-31,1.022439918,0.283329923,1.761549913,-0.107931274,2.15281111
Oct-31,1.039866694,0.298117736,1.781615652,-0.094540443,2.174273832
Nov-31,1.023959275,0.27957885,1.768339699,-0.114472344,2.162390893
Dec-31,1.024434995,0.277430519,1.77143947,-0.118009763,2.166879752
Jan-32,1.064092177,0.314470989,1.813713364,-0.082354498,2.210538851
Feb-32,1.068403006,0.316172366,1.820633646,-0.082034481,2.218840492
Mar-32,1.0694992,0.314169711,1.824828689,-0.085677568,2.224675967
Apr-32,1.046627646,0.2887047,1.804550592,-0.112515472,2.205770764
May-32,1.001743081,0.241233698,1.762252464,-0.161355651,2.164841813
Jun-32,1.024627256,0.261538384,1.787716127,-0.142416464,2.191670975
Jul-32,1.030112466,0.264450983,1.795773949,-0.140865722,2.201090654
Aug-32,1.051154145,0.282926859,1.819381431,-0.123748101,2.226056391
Sep-32,1.034027526,0.263241175,1.804813876,-0.144788472,2.212843523
Oct-32,1.051454302,0.278115559,1.824793046,-0.131265243,2.234173848
Nov-32,1.035546883,0.259662352,1.811431414,-0.151066109,2.222159874
Dec-32,1.036022603,0.257598823,1.814446382,-0.154473834,2.226519039
Jan-33,1.075679785,0.294723232,1.856636337,-0.118690194,2.270049763
Feb-33,1.079990614,0.2965077,1.863473527,-0.118243101,2.278224328
Mar-33,1.081086808,0.294605047,1.867568568,-0.121733248,2.283906863
Apr-33,1.058215254,0.269221295,1.847209213,-0.148446877,2.264877386
May-33,1.013330689,0.221830745,1.804830633,-0.197164015,2.223825393
Jun-33,1.036214864,0.24221509,1.830214637,-0.178103001,2.250532728
Jul-33,1.041700074,0.245206566,1.838193582,-0.176431628,2.259831776
Aug-33,1.062741753,0.263760548,1.861722957,-0.159194553,2.284678058
Sep-33,1.045615134,0.244152214,1.847078053,-0.180116627,2.271346895
Oct-33,1.06304191,0.259103201,1.866980619,-0.166476244,2.292560065
Nov-33,1.047134491,0.240725862,1.853543119,-0.18616108,2.280430061
Dec-33,1.047610211,0.238737478,1.856482943,-0.189453881,2.284674303
Jan-34,1.087267393,0.275936319,1.898598467,-0.153556408,2.328091194
Feb-34,1.091578222,0.277794515,1.905361928,-0.152996557,2.336153
Mar-34,1.092674416,0.275980759,1.909368072,-0.156350747,2.341699579
Apr-34,1.069802862,0.250669216,1.888936508,-0.182953943,2.322559667
May-34,1.024918297,0.203350206,1.846486388,-0.231561671,2.281398265
Jun-34,1.047802472,0.223805429,1.871799514,-0.212392256,2.307997199
Jul-34,1.053287682,0.226867134,1.87970823,-0.210613478,2.317188842
Aug-34,1.074329361,0.245490704,1.903168018,-0.193269977,2.341928699
Sep-34,1.057202742,0.225951325,1.888454158,-0.214086594,2.328492078
Oct-34,1.074629518,0.240970644,1.908288392,-0.200341706,2.349600743
Nov-34,1.058722099,0.222661023,1.894783175,-0.219922976,2.337367174
Dec-34,1.059197819,0.220739751,1.897655886,-0.223113139,2.341508776
Jan-35,1.098855001,0.258005106,1.939704895,-0.18711394,2.384823942
Feb-35,1.10316583,0.259929229,1.946402431,-0.186453263,2.392784923
Mar-35,1.104262024,0.258195101,1.950328946,-0.189685673,2.398209721
Apr-35,1.08139047,0.232948208,1.929832733,-0.216189996,2.378970937
May-35,1.036505905,0.185693283,1.887318527,-0.264699713,2.337711523
Jun-35,1.05939008,0.206212037,1.912568123,-0.245433138,2.364213297
Jul-35,1.06487529,0.209336723,1.920413857,-0.243558037,2.373308617
Aug-35,1.085916969,0.228022734,1.943811204,-0.226119041,2.397952979
Sep-35,1.06879035,0.208545263,1.929035437,-0.246840979,2.384421679
Oct-35,1.086217126,0.223625962,1.948808291,-0.233002217,2.40543647
Nov-35,1.070309707,0.205377202,1.935242211,-0.252490408,2.393109822
Dec-35,1.070785427,0.203516279,1.938054575,-0.255588275,2.397159129
Jan-36,1.110442609,0.240841477,1.980043741,-0.219497555,2.440382773
Feb-36,1.114753438,0.242824943,1.986681933,-0.218746122,2.448252998
Mar-36,1.115849632,0.241162614,1.99053665,-0.221868724,2.453567988
Apr-36,1.092978078,0.215973979,1.969982178,-0.248283948,2.434240105
May-36,1.048093513,0.168776833,1.927410193,-0.296705299,2.392892326
Jun-36,1.070977688,0.189352894,1.952602482,-0.277351081,2.419306457
Jul-36,1.076462898,0.19253442,1.960391377,-0.275389052,2.428314848
Aug-36,1.097504577,0.211276809,1.983732345,-0.257863833,2.452872987
Sep-36,1.080377958,0.191855261,1.968900655,-0.278500243,2.439256159
Oct-36,1.097804735,0.206991435,1.988618034,-0.264576641,2.46018611
