,Point.Forecast,Lo.90,Hi.90
Jan-20,1.617147203,-1.408354313,4.642648718
Feb-20,1.220535517,-1.809023379,4.250094413
Mar-20,0.365933848,-2.667692656,3.399560352
Apr-20,0.778718367,-2.258985961,3.816422696
May-20,1.02542246,-2.016369898,4.067214819
Jun-20,1.194622002,-1.851268581,4.240512585
Jul-20,1.035913148,-2.014085843,4.085912139
Aug-20,1.081111469,-1.973006102,4.13522904
Sep-20,1.3114477,-1.746798612,4.369694012
Oct-20,1.019004219,-2.043380985,4.081389423
Nov-20,0.462093547,-2.604440686,3.528627781
Dec-20,1.0701516,-2.000541792,4.140844991
Jan-21,1.631704071,-1.443174379,4.706582522
Feb-21,1.235092386,-1.843965422,4.314150193
Mar-21,0.380490717,-2.702756542,3.463737975
Apr-21,0.793275236,-2.294171555,3.880722027
May-21,1.039979329,-2.051677066,4.131635724
Jun-21,1.20917887,-1.886697187,4.305054928
Jul-21,1.050470017,-2.049635751,4.150575785
Aug-21,1.095668338,-2.008677177,4.200013852
Sep-21,1.326004569,-1.782590717,4.434599854
Oct-21,1.033561087,-2.079293982,4.146416156
Nov-21,0.476650416,-2.640474438,3.59377527
Dec-21,1.084708468,-2.03669616,4.206113096
Jan-22,1.64626094,-1.479449321,4.7719712
Feb-22,1.249649254,-1.880360703,4.379659212
Mar-22,0.395047585,-2.739272023,3.529367193
Apr-22,0.807832104,-2.330807097,3.946471305
May-22,1.054536197,-2.088432528,4.197504922
Jun-22,1.223735739,-1.923572428,4.371043906
Jul-22,1.065026885,-2.086630631,4.216684401
Aug-22,1.110225206,-2.045791554,4.266241966
Sep-22,1.340561437,-1.81982445,4.500947325
Oct-22,1.048117956,-2.116646929,4.212882841
Nov-22,0.491207284,-2.677946458,3.660361027
Dec-22,1.099265337,-2.074287109,4.272817783
Jan-23,1.660817808,-1.517159142,4.838794758
Feb-23,1.264206123,-1.918189167,4.446601412
Mar-23,0.409604454,-2.777218986,3.596427893
Apr-23,0.822388973,-2.368872415,4.013650361
May-23,1.069093066,-2.126616057,4.264802188
Jun-23,1.238292607,-1.961874024,4.438459239
Jul-23,1.079583754,-2.125050149,4.284217656
Aug-23,1.124782075,-2.084328849,4.333892998
Sep-23,1.355118306,-1.858479376,4.568715988
Oct-23,1.062674824,-2.155419341,4.28076899
Nov-23,0.505764153,-2.716836209,3.728364515
Dec-23,1.113822205,-2.113294055,4.340938465
Jan-24,1.675374677,-1.55628321,4.907032563
Feb-24,1.278762991,-1.957430134,4.514956117
Mar-24,0.424161322,-2.816576707,3.664899351
Apr-24,0.836945841,-2.408346742,4.082238424
May-24,1.083649934,-2.166206842,4.333506711
Jun-24,1.252849476,-2.00158112,4.507280072
Jul-24,1.094140622,-2.164873408,4.353154652
Aug-24,1.139338943,-2.124268123,4.402946009
Sep-24,1.369675174,-1.898534517,4.637884865
Oct-24,1.077231693,-2.1955902,4.350053586
Nov-24,0.520321021,-2.757122638,3.797764681
Dec-24,1.128379074,-2.153695903,4.410454051
Jan-25,1.689931545,-1.596800396,4.976663486
Feb-25,1.29331986,-1.998062443,4.584702162
Mar-25,0.438718191,-2.857323987,3.734760369
Apr-25,0.85150271,-2.449208845,4.152214265
May-25,1.098206803,-2.207183619,4.403597224
Jun-25,1.267406344,-2.042672421,4.577485109
Jul-25,1.108697491,-2.206079082,4.423474063
Aug-25,1.153895812,-2.165588019,4.473379643
Sep-25,1.384232043,-1.939968486,4.708432571
Oct-25,1.091788561,-2.237138091,4.420715214
Nov-25,0.53487789,-2.7987843,3.86854008
Dec-25,1.142935942,-2.195471187,4.481343071
Jan-26,1.704488414,-1.638689206,5.047666034
Feb-26,1.307876728,-2.040064572,4.655818028
Mar-26,0.453275059,-2.899439284,3.805989402
Apr-26,0.866059578,-2.491437158,4.223556315
May-26,1.112763671,-2.249524797,4.475052139
